"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"Mulholland Dr.","7.9","David Lynch","David Lynch","87","Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates, Dan Birnbaum, Randall Wulff, Robert Forster, Brent Briscoe, Maya Bond, Patrick Fischler, Michael Cooke, Bonnie Aarons, Michael J. Anderson, Joseph Kearney, Enrique Buelna, Richard Mead, Sean Everett, Ann Miller","2001-10-19","France, United States","English, Spanish, French","15000000","20289986","2 hours 27 minutes","United States"
"Harry Potter and the Prisoner of Azkaban","7.9","Alfonso Cuarón","J.K. Rowling, Steve Kloves","82","Daniel Radcliffe, Emma Watson, Rupert Grint, Richard Griffiths, Pam Ferris, Fiona Shaw, Harry Melling, Adrian Rawlins, Geraldine Somerville, Lee Ingleby, Lenny Henry, Jimmy Gardner, Gary Oldman, Jim Tavaré, Robert Hardy, Abby Ford, Oliver Phelps, James Phelps","2004-06-04","United Kingdom, United States","English, Latin, Old English","130000000","808485409","2 hours 22 minutes","India"
"Knives Out","7.9","Rian Johnson","Rian Johnson","82","Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, LaKeith Stanfield, Christopher Plummer, Katherine Langford, Jaeden Martell, Riki Lindhome, Edi Patterson, Frank Oz, K Callan, Noah Segan, M. Emmet Walsh, Marlene Forte","2019-11-27","United States","English","40000000","312897920","2 hours 10 minutes","India"
"A Christmas Story","7.9","Bob Clark","Jean Shepherd, Leigh Brown, Bob Clark","77","Peter Billingsley, Melinda Dillon, Darren McGavin, Scott Schwartz, Jean Shepherd, Ian Petrella, Tedde Moore, RD Robb, Zack Ward, Yano Anaya, Jeff Gillen, Colin Fox, Paul Hubbard, Leslie Carlson, Jim Hunter, Patty Johnson, Drew Hocevar, David Svoboda","1987-12-11","United States, Canada","English","3300000","20792619","1 hour 33 minutes","India"
"True Romance","7.9","Tony Scott","Quentin Tarantino, Roger Avary","59","Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, Gary Oldman, Brad Pitt, Christopher Walken, Bronson Pinchot, Samuel L. Jackson, Michael Rapaport, Saul Rubinek, Conchata Ferrell, James Gandolfini, Anna Thomson, Victor Argo, Paul Bates, Chris Penn, Tom Sizemore","1993-09-10","United States, France","English, Italian","13000000","13088850","1 hour 59 minutes","United States"
"The Nightmare Before Christmas","7.9","Henry Selick","Tim Burton, Michael McDowell, Caroline Thompson","82","Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens, Ken Page, Edward Ivory, Susan McBride, Debi Durst, Greg Proops, Kerry Katz, Randy Crenshaw, Sherwood Ball, Carmen Twillie, Glenn Walters","2018-03-24","United States","English","18000000","107798585","1 hour 16 minutes","India"
"Arrival","7.9","Denis Villeneuve","Eric Heisserer, Ted Chiang","81","Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma, Abigail Pniowsky, Julia Scarlett Dan, Jadyn Malone, Frank Schorpion, Lucas Chartier-Dessert, Christian Jadah, Lucy Van Oldenbarneveld, Andrew Shaver, Pat Kiely, Sonia Vigneault, Mark Camacho, Sabrina Reeves","2016-11-25","United States, Canada","English, Mandarin, Russian","47000000","212758656","1 hour 56 minutes","India"
"Guardians of the Galaxy Vol. 3","7.9","James Gunn","James Gunn, Jim Starlin, Stan Lee","64","Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff, Dave Bautista, Karen Gillan, Vin Diesel, Austin Freeman, Stephen Blackehart, Terence Rosemore, Maria Bakalova, Sean Gunn, Sarah Alami, Jasmine Munoz, Giovannie Cruz, Will Poulter, Nico Santos, Miriam Shor","2023-05-05","United States, New Zealand, France, Canada","English","250000000","845555777","2 hours 30 minutes","India"
"Avatar","7.9","James Cameron","James Cameron","83","Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez, Stephen Lang, Giovanni Ribisi, Joel David Moore, CCH Pounder, Wes Studi, Laz Alonso, Dileep Rao, Matt Gerald, Sean Anthony Moran, Jason Whyte, Scott Lawrence, Kelly Kilgour, James Patrick Pitt, Sean Patrick Murphy","2009-12-18","United States, United Kingdom","English, Spanish","237000000","2923706026","2 hours 42 minutes","India"
"Shrek","7.9","Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott, Terry Rossio","84","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith, Conrad Vernon, Jacquie Barnbrook, Guillaume Aretos","2001-06-29","United States","English","60000000","488629509","1 hour 30 minutes","India"
"Jojo Rabbit","7.9","Taika Waititi","Christine Leunens, Taika Waititi","58","Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Sam Rockwell, Rebel Wilson, Alfie Allen, Stephen Merchant, Archie Yates, Luke Brandon Field, Sam Haygarth, Stanislav Callas, Joe Weintraub, Brian Caspe, Gabriel Andrews, Billy Rayner, Christian Howlings, Gilby Griffin Davis","2020-01-31","Czech Republic, New Zealand, United States, Germany","English, German","14000000","93694707","1 hour 48 minutes","India"
