"title","average_rating","director","writer","metascore","cast","release_date","country_of_origin","languages","budget","worldwide_gross","runtime","first_released"
"The Shawshank Redemption","9.3","Frank Darabont","Stephen King, Frank Darabont","82","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg, Neil Giuntoli, Brian Libby, David Proval, Joseph Ragno, Jude Ciccolella, Paul McCrane, Renee Blaine, Scott Mann","1994-10-14","United States","English","25000000","29332133","2 hours 22 minutes","India"
"The Godfather","9.2","Francis Ford Coppola","Mario Puzo, Francis Ford Coppola","100","Marlon Brando, Al Pacino, James Caan, Diane Keaton, Richard S. Castellano, Robert Duvall, Sterling Hayden, John Marley, Richard Conte, Al Lettieri, Abe Vigoda, Talia Shire, Gianni Russo, John Cazale, Rudy Bond, Al Martino, Morgana King, Lenny Montana",\N,"United States","English, Italian, Latin","6000000","250342198","2 hours 55 minutes","India"
"The Dark Knight","9","Christopher Nolan","Jonathan Nolan, Christopher Nolan, David S. Goyer","84","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal, Gary Oldman, Morgan Freeman, Monique Gabriela Curnen, Ron Dean, Cillian Murphy, Chin Han, Nestor Carbonell, Eric Roberts, Ritchie Coster, Anthony Michael Hall, Keith Szarabajka, Colin McFarlane, Joshua Harto","2008-07-18","United States, United Kingdom","English, Mandarin","185000000","1009053678","2 hours 32 minutes","India"
"Schindler's List","9","Steven Spielberg","Thomas Keneally, Steven Zaillian","95","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser, Adi Nitzan, Michael Schneider, Miri Fabian","1993-12-15","United States","English, Hebrew, German, Polish, Latin","22000000","322161245","3 hours 15 minutes","India"
"12 Angry Men","9","Sidney Lumet","Reginald Rose","97","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, E.G. Marshall, Jack Klugman, Edward Binns, Jack Warden, Joseph Sweeney, Ed Begley, George Voskovec, Robert Webber, Rudy Bond, Tom Gorman, James Kelly, Billy Nelson, John Savoca, Walter Stocker","1957-04-10","United States","English","350000","2945","1 hour 36 minutes","United States"
"The Godfather: Part II","9","Francis Ford Coppola","Francis Ford Coppola, Mario Puzo","90","Al Pacino, Robert De Niro, Robert Duvall, Diane Keaton, John Cazale, Talia Shire, Lee Strasberg, Michael V. Gazzo, G.D. Spradlin, Richard Bright, Gastone Moschin, Tom Rosqui, Bruno Kirby, Frank Sivero, Francesca De Sapio, Morgana King, Marianna Hill, Leopoldo Trieste",\N,"United States","English, Italian, Spanish, Latin, Sicilian","13000000","47964222","3 hours 22 minutes","India"
"The Lord of the Rings: The Return of the King","9","Peter Jackson","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","94","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill","2004-02-06","New Zealand, United States","English, Quenya, Old English, Sindarin","94000000","1138263151","3 hours 21 minutes","India"
"The Lord of the Rings: The Fellowship of the Ring","8.9","Peter Jackson","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","92","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Billy Boyd, Andy Serkis, Marton Csokas, Viggo Mortensen, Megan Edwards, Michael Elsworth, Cate Blanchett, Mark Ferguson, Ian Holm, Christopher Lee","2002-03-15","New Zealand, United States, United Kingdom","English, Sindarin","93000000","888159923","2 hours 58 minutes","India"
"Pulp Fiction","8.9","Quentin Tarantino","Quentin Tarantino, Roger Avary","95","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, Tim Roth, Amanda Plummer, Laura Lovelace, Phil LaMarr, Frank Whaley, Burr Steers, Ving Rhames, Paul Calderon, Bronagh Gallagher, Rosanna Arquette, Eric Stoltz, Jerome Patrick Hoban, Michael Gilden, Gary Shorelle","1994-10-14","United States","English, Spanish, French","8000000","213928762","2 hours 34 minutes","India"
"Inception","8.8","Christopher Nolan","Christopher Nolan","74","Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe, Tom Hardy, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas, Tai-Li Lee, Claire Geare, Magnus Nolan, Taylor Geare, Johnathan Geare, Tohoru Masamune","2010-07-16","United States, United Kingdom","English, Japanese, French","160000000","839030630","2 hours 28 minutes","India"
"Fight Club","8.8","David Fincher","Chuck Palahniuk, Jim Uhls","67","Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, Richmond Arquette, David Andrews, George Maguire, Eugenie Bondurant, Christina Cabot, Helena Bonham Carter, Sydney 'Big Dawg' Colston, Rachel Singer, Christie Cronenweth, Tim DeZarn, Ezra Buzzington, Dierdre Downing-Jackson, Bob Stephenson, Charlie Dell","1999-10-15","Germany, United States","English","63000000","101321009","2 hours 19 minutes","India"
"Forrest Gump","8.8","Robert Zemeckis","Winston Groom, Eric Roth","82","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Rebecca Williams, Michael Conner Humphreys, Harold G. Herthum, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis","2014-09-12","United States","English","55000000","678226465","2 hours 22 minutes","India"
"Il Buono, Il Brutto, Il Cattivo","8.8","Sergio Leone","Luciano Vincenzoni, Sergio Leone, Agenore Incrocci","90","Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli, Rada Rassimov, Enzo Petito, Claudio Scarchilli, John Bartha, Livio Lorenzon, Antonio Casale, Sandro Scarchilli, Benito Stefanelli, Angelo Novi, Antonio Casas, Aldo Sambrell, Al Mulock, Sergio Mendizábal","1969-04-15","Italy, Spain, West Germany, United States","Italian, English","1200000","25264999","2 hours 41 minutes","India"
"The Lord of the Rings: The Two Towers","8.8","Peter Jackson","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","87","Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee","2003-03-28","New Zealand, United States","English, Sindarin, Old English","94000000","938242927","2 hours 59 minutes","India"
"Interstellar","8.7","Christopher Nolan","Jonathan Nolan, Christopher Nolan","74","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, Ellen Burstyn, John Lithgow, Timothée Chalamet, David Oyelowo, Collette Wolfe, Francis X. McCarthy, Bill Irwin, Andrew Borba, Wes Bentley, William Devane, Michael Caine, David Gyasi, Josh Stewart, Casey Affleck","2014-11-07","United States, United Kingdom, Canada","English","165000000","732055745","2 hours 49 minutes","India"
"GoodFellas","8.7","Martin Scorsese","Nicholas Pileggi, Martin Scorsese","92","Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco, Paul Sorvino, Frank Sivero, Tony Darrow, Mike Starr, Frank Vincent, Chuck Low, Frank DiLeo, Henny Youngman, Gina Mastrogiacomo, Catherine Scorsese, Charles Scorsese, Suzanne Shepherd, Debi Mazar, Margo Winkler","2019-07-31","United States","English, Italian, Hebrew, Yiddish","25000000","47054352","2 hours 25 minutes","India"
"The Matrix","8.7","Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","73","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory, Anthony Ray Parker, Paul Goddard, Robert Taylor, David Aston, Marc Aden Gray, Ada Nicodemou, Deni Gordon, Rowan Witt","1999-09-11","United States, Australia","English","63000000","467840449","2 hours 16 minutes","India"
"One Flew Over the Cuckoo's Nest","8.7","Milos Forman","Lawrence Hauben, Bo Goldman, Ken Kesey","84","Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, Dean R. Brooks, Alonzo Brown, Scatman Crothers, Mwako Cumbuka, Danny DeVito, William Duell, Josip Elic, Lan Fendors, Nathan George, Ken Kenny, Mel Lambert, Sydney Lassick, Kay Lee, Christopher Lloyd","1977-03-10","United States","English","3000000","109115366","2 hours 13 minutes","India"
"Star Wars: Episode V - The Empire Strikes Back","8.7","Irvin Kershner","Leigh Brackett, Lawrence Kasdan, George Lucas","82","Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Kenny Baker, Frank Oz, Alec Guinness, Jeremy Bulloch, John Hollis, Jack Purvis, Des Webb, Clive Revill, Kenneth Colley, Julian Glover, Michael Sheard","1980-12-10","United States","English","18000000","550016086","2 hours 4 minutes","India"
"Stop Making Sense","8.7","Jonathan Demme","Jonathan Demme, Talking Heads","94","David Byrne, Bernie Worrell, Alex Weir, Steven Scales, Lynn Mabry, Ednah Holt, Tina Weymouth, Jerry Harrison, Chris Frantz, Talking Heads","1984-11-16","United States","English, French","1200000","13001597","1 hour 28 minutes","West Germany"
"Se7en","8.6","David Fincher","Andrew Kevin Walker","65","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, Daniel Zacapa, Gwyneth Paltrow, John Cassini, Bob Mack, Peter Crombie, Reg E. Cathey, R. Lee Ermey, George Christy, Endre Hules, Hawthorne James, William Davidson, Bob Collins, Jimmy Dale Hartsell, Richard Roundtree","1995-09-22","United States","English","33000000","327333559","2 hours 7 minutes","India"
"The Silence of the Lambs","8.6","Jonathan Demme","Thomas Harris, Ted Tally","86","Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald, Brooke Smith, Diane Baker, Kasi Lemmons, Charles Napier, Tracey Walter, Roger Corman, Ron Vawter, Danny Darst, Jeffrie Lane, Frankie Faison, Paul Lazar, Dan Butler, Chris Isaak","1991-02-14","United States","English, Latin","19000000","272742922","1 hour 58 minutes","United States"
"It's a Wonderful Life","8.6","Frank Capra","Frances Goodrich, Albert Hackett, Frank Capra","89","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, Henry Travers, Beulah Bondi, Frank Faylen, Ward Bond, Gloria Grahame, H.B. Warner, Frank Albertson, Todd Karns, Samuel S. Hinds, Mary Treen, Virginia Patton, Charles Williams, Sarah Edwards, William Edmunds","1947-01-07","United States","English, French","3180000","9767242","2 hours 10 minutes","United States"
"Spider-man: Across the Spider-verse","8.6","Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Phil Lord, Christopher Miller, Dave Callaham","86","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson, Oscar Isaac, Jason Schwartzman, Issa Rae, Daniel Kaluuya, Karan Soni, Shea Whigham, Greta Lee, Mahershala Ali, Amandla Stenberg, Jharrel Jerome, Andy Samberg, Jack Quaid, Rachel Dratch","2023-06-01","United States","English","150000000","690824738","2 hours 20 minutes","India"
"Saving Private Ryan","8.6","Steven Spielberg","Robert Rodat","91","Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg, Vin Diesel, Giovanni Ribisi, Jeremy Davies, Ted Danson, Paul Giamatti, Dennis Farina, Joerg Stadler, Max Martini, Dylan Bruno, Daniel Cerqueira, Demetri Goritsas, Ian Porter","1999-03-26","United States","English, French, German, Czech","70000000","482351251","2 hours 49 minutes","India"
"The Green Mile","8.6","Frank Darabont","Stephen King, Frank Darabont","61","Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt, James Cromwell, Michael Jeter, Graham Greene, Doug Hutchison, Sam Rockwell, Barry Pepper, Jeffrey DeMunn, Patricia Clarkson, Harry Dean Stanton, Dabbs Greer, Eve Brent, William Sadler, Mack Miles, Rai Tasco","2000-03-16","United States","English, French","60000000","286801374","3 hours 9 minutes","India"
"Terminator 2: Judgment Day","8.6","James Cameron","James Cameron, William Wisher","75","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Earl Boen, Joe Morton, S. Epatha Merkerson, Castulo Guerra, Danny Cooksey, Jenette Goldstein, Xander Berkeley, Leslie Hamilton Gearren, Ken Gibbel, Robert Winley, Pete Schrum, Shane Wilder, Michael Edwards, Jared Lounsbery","1991-08-24","United States, France","English, Spanish","102000000","517778573","2 hours 17 minutes","India"
"Star Wars: Episode IV - A New Hope","8.6","George Lucas","George Lucas","90","Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, Peter Cushing, Anthony Daniels, Kenny Baker, Peter Mayhew, David Prowse, Phil Brown, Shelagh Fraser, Jack Purvis, Alex McCrindle, Eddie Byrne, Drewe Henley, Denis Lawson, Garrick Hagon, Jack Klaff","1978-07-01","United States","English","11000000","775398507","2 hours 1 minute","India"
"Spirited Away","8.6","Hayao Miyazaki","Hayao Miyazaki","96","Daveigh Chase, Suzanne Pleshette, Miyu Irino, Rumi Hiiragi, Mari Natsuki, Takashi Naitô, Yasuko Sawaguchi, Tatsuya Gashûin, Ryunosuke Kamiki, Yumi Tamai, Yô Ôizumi, Koba Hayashi, Tsunehiko Kamijô, Takehiko Ono, Bunta Sugawara, Shigeru Wakita, Shirô Saitô, Michiko Yamamoto","2020-03-01","Japan, United States","Japanese","19000000","358110581","2 hours 4 minutes","India"
"Gladiator","8.5","Ridley Scott","David Franzoni, John Logan, William Nicholson","67","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Tomas Arana, Ralf Moeller, Spencer Treat Clark, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Omid Djalili, Nicholas McGaughey, Chris Kell","2000-09-01","United States, United Kingdom, Malta, Morocco","English","103000000","465516248","2 hours 35 minutes","India"
"Dune: Part Two","8.5","Denis Villeneuve","Denis Villeneuve, Jon Spaihts, Frank Herbert","79","Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin, Austin Butler, Florence Pugh, Dave Bautista, Christopher Walken, Léa Seydoux, Stellan Skarsgård, Charlotte Rampling, Souheila Yacoub, Roger Yuan, Babs Olusanmokun, Alison Halstead, Giusi Merli, Kait Tenison","2024-03-01","United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia","English","190000000","714444358","2 hours 46 minutes","India"
"Alien","8.5","Ridley Scott","Dan O'Bannon, Ronald Shusett","89","Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, Harry Dean Stanton, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton, Eddie Powell","1979-12-06","United Kingdom, United States","English","11000000","108610218","1 hour 57 minutes","India"
"Django Unchained","8.5","Quentin Tarantino","Quentin Tarantino","81","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Clay Donahue Fontenot, Escalante Lundy, Miriam F. Glover, Don Johnson","2013-03-22","United States","English, German, French, Italian","100000000","426076293","2 hours 45 minutes","India"
"Whiplash","8.5","Damien Chazelle","Damien Chazelle","89","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Nate Lang, Chris Mulkey, Damon Gupton, Suanne Spoke, Max Kasch, Charlie Ian, Jayson Blair, Kofi Siriboe, Kavita Patil, C.J. Vana, Tarik Lowe, Tyler Kimball, Rogelio Douglas Jr.","2015-02-20","United States","English","3300000","50360880","1 hour 46 minutes","India"
"The Departed","8.5","Martin Scorsese","William Monahan, Alan Mak, Felix Chong","85","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Farmiga, Anthony Anderson, Alec Baldwin, Kevin Corrigan, James Badge Dale, David O'Hara, Mark Rolston, Robert Wahlberg, Kristen Dalton, Thomas B. Duffy, Richard Hughes, J.C. MacKenzie","2007-10-31","United States, Hong Kong","English, Cantonese","90000000","291481358","2 hours 31 minutes","India"
"Léon","8.5","Luc Besson","Luc Besson","64","Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello, Peter Appel, Willi One Blood, Don Creech, Keith A. Glascoe, Randolph Scott, Michael Badalucco, Ellen Greene, Elizabeth Regen, Carl J. Matusovich, Frank Senger, Lucius Wyatt Cherokee, Eric Challier, Luc Bernard, Maïwenn","1996-09-23","France, United States","English, Italian, French","16000000","20278356","1 hour 50 minutes","India"
"The Prestige","8.5","Christopher Nolan","Jonathan Nolan, Christopher Nolan, Christopher Priest","66","Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine, Piper Perabo, Rebecca Hall, Samantha Mahurin, David Bowie, Andy Serkis, Daniel Davis, Jim Piddock, Christopher Neame, Mark Ryan, Roger Rees, Jamie Harris, Monty Stuart, Ron Perkins, Ricky Jay","2006-10-20","United Kingdom, United States","English","40000000","109676311","2 hours 10 minutes","India"
"Back to the Future","8.5","Robert Zemeckis","Robert Zemeckis, Bob Gale","87","Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain, James Tolkan, J.J. Cohen, Casey Siemaszko, Billy Zane, Harry Waters Jr., Donald Fullilove, Lisa Freeman, Cristen Kauffman","1986-12-09","United States","English","19000000","384577472","1 hour 56 minutes","India"
"Psycho","8.5","Alfred Hitchcock","Joseph Stefano, Robert Bloch","97","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills, Fletcher Allen, Walter Bacon, Prudence Beers, Kit Carson, Johnny Clark","2020-05-24","United States","English","806947","32066765","1 hour 49 minutes","India"
"The Lion King","8.5","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton","88","Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg, Rowan Atkinson, Niketa Calame-Harris, Jim Cummings, Robert Guillaume, Moira Kelly, Nathan Lane, Zoe Leader, Cheech Marin, Ernie Sabella, Madge Sinclair, Jonathan Taylor Thomas, Frank Welker, Cathy Cavadini, Judi M. Durand","1994-10-29","United States","English, Swahili, Xhosa, Zulu","45000000","981708285","1 hour 28 minutes","India"
"American History X","8.5","Tony Kaye","David McKenna","62","Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry, Joe Cortese, Jason Bose Smith, Antonio David Lyons, Alex Sol, Keram Malicki-Sánchez, Giuseppe Andrews, Michelle Christine White","1999-09-21","United States","English","20000000","23875714","1 hour 59 minutes","India"
"The Usual Suspects","8.5","Bryan Singer","Christopher McQuarrie","76","Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin, Benicio Del Toro, Kevin Pollak, Pete Postlethwaite, Suzy Amis, Giancarlo Esposito, Dan Hedaya, Paul Bartel, Carl Bressler, Phillipe Simon, Jack Shearer, Christine Estabrook, Clark Gregg, Morgan Hunter, Ken Daly","1996-05-10","United States, Germany","English, Hungarian, Spanish, French","6000000","23341568","1 hour 46 minutes","India"
"The Pianist","8.5","Roman Polanski","Ronald Harwood, Wladyslaw Szpilman","85","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, Michal Zebrowski, Ed Stoppard, Maureen Lipman, Jessica Kate Meyer, Julia Rayner, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucy Skeaping, Roddy Skeaping, Ben Harlan, Thomas Lawinky, Joachim Paul Assböck","2019-04-03","France, Poland, Germany, United Kingdom, United States","English, German, Russian","35000000","120098945","2 hours 30 minutes","India"
"Grave of the Fireflies","8.5","Isao Takahata","Akiyuki Nosaka, Isao Takahata","94","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara, Kôzô Hashida, Masayo Sakai, Kazumi Nozaki, Yoshio Matsuoka, Masahiro Kanetake, Kiyoshi Yanagawa, Hajime Maki, Atsuo Omote, Teruhisa Harita, Hiroshi Tanaka, Michio Denpô, Shirô Tamaki, Tadashi Nakamura, Mika Sekita","1988-04-16","Japan, United States","Japanese","3700000","801143","1 hour 28 minutes","Japan"
"Casablanca","8.5","Michael Curtiz","Julius J. Epstein, Howard Koch, Murray Burnett","100","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine Lebeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Abdullah Abbas, Enrique Acosta, Ed Agresti, Arnet Amos","1943-01-23","United States","English, French, German, Italian, Russian","950000","4720495","1 hour 42 minutes","United States"
"C'era Una Volta Il West","8.5","Sergio Leone","Sergio Donati, Sergio Leone, Dario Argento","82","Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam, Keenan Wynn, Frank Wolff, Lionel Stander, Livio Andronico, Salvatore Basile, Aldo Berti, Regina Elena Bisio, Joseph Bradley, Frank Braña, Marilù Carteny","1969-09-24","Italy, United States","Italian, English, Spanish","5000000","5435312","2 hours 46 minutes","India"
"Rear Window","8.5","Alfred Hitchcock","John Michael Hayes, Cornell Woolrich","100","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr, Judith Evelyn, Ross Bagdasarian, Georgine Darcy, Sara Berner, Frank Cady, Jesslyn Fax, Rand Harper, Irene Winston, Havis Davenport, Jerry Antes, Barbara Bailey, Benny Bartlett, Nick Borgani","1954-09-01","United States","English","1000000","37043820","1 hour 52 minutes","United States"
"Modern Times","8.5","Charles Chaplin","Charles Chaplin","96","Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta, Sammy Stein, Juana Sutton, Ted Oliver","1936-02-25","United States","English","1500000","463618","1 hour 27 minutes","United States"
"City Lights","8.5","Charles Chaplin","Charles Chaplin, Harry Carr, Harry Crocker","99","Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Johnny Aber, Jack Alexander, T.S. Alexander, Victor Alexander, Albert Austin, Harry Ayers, Eddie Baker, Henry Bergman, Edward Biby, Betty Blair, Buster Brodie, Jeanne Carpenter","1931-03-07","United States","None, English","1500000","55154","1 hour 27 minutes","United States"
"Baraka","8.5","Ron Fricke","Ron Fricke, Mark Magidson, Genevieve Nicholas",\N,"Patrick Disanto","1993-11-19","United States","","2000000","1346497","1 hour 36 minutes","United States"
"Inglourious Basterds","8.4","Quentin Tarantino","Quentin Tarantino","69","Brad Pitt, Diane Kruger, Eli Roth, Mélanie Laurent, Christoph Waltz, Michael Fassbender, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido, B.J. Novak, Omar Doom, August Diehl, Denis Ménochet, Sylvester Groth, Martin Wuttke, Mike Myers, Julie Dreyfus","2009-10-02","United States, Germany","English, German, French, Italian","70000000","321460456","2 hours 33 minutes","India"
"Joker","8.4","Todd Phillips","Todd Phillips, Scott Silver, Bob Kane","59","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Shea Whigham, Bill Camp, Glenn Fleshler, Leigh Gill, Josh Pais, Rocco Luna, Marc Maron, Sondra James, Murphy Guyer, Douglas Hodge, Dante Pereira-Olson, Carrie Louise Putrello, Sharon Washington","2019-10-02","United States, Canada, Australia","English, German","55000000","1078958629","2 hours 2 minutes","India"
"The Dark Knight Rises","8.4","Christopher Nolan","Jonathan Nolan, Christopher Nolan, David S. Goyer","78","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, Joseph Gordon-Levitt, Marion Cotillard, Morgan Freeman, Michael Caine, Matthew Modine, Alon Aboutboul, Ben Mendelsohn, Burn Gorman, Daniel Sunjata, Aidan Gillen, Sam Kennard, Aliash Tepina, Nestor Carbonell, Brett Cullen","2012-07-20","United States, United Kingdom","English, Arabic","250000000","1114975066","2 hours 44 minutes","India"
"Avengers: Endgame","8.4","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Stan Lee","78","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman, Brie Larson, Tom Holland, Karen Gillan, Zoe Saldana, Evangeline Lilly, Tessa Thompson, Rene Russo, Elizabeth Olsen","2019-04-26","United States","English, Japanese, Xhosa, German","356000000","2799439100","3 hours 1 minute","India"
"The Shining","8.4","Stanley Kubrick","Stephen King, Stanley Kubrick, Diane Johnson","68","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Anne Jackson, Tony Burton, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns, Louise Burns, Robin Pappas, Alison Coleridge","2017-10-04","United Kingdom, United States","English","19000000","47959450","2 hours 26 minutes","India"
"Alien 2","8.4","James Cameron","James Cameron, David Giler, Walter Hill","84","Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston, Ricco Ross, Colette Hiller, Daniel Kash, Cynthia Dale Scott, Tip Tipping, Trevor Steedman, Paul Maxwell, Valerie Colgan","1987-07-11","United Kingdom, United States","English, Spanish","18500000","131060248","2 hours 17 minutes","India"
"Apocalypse Now","8.4","Francis Ford Coppola","John Milius, Francis Ford Coppola, Michael Herr","94","Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, Sam Bottoms, Laurence Fishburne, Albert Hall, Harrison Ford, Dennis Hopper, G.D. Spradlin, Jerry Ziesmer, Scott Glenn, Bo Byers, James Keane, Kerry Rossall, Ron McQueen, Tom Mason, Cynthia Wood","1979-08-15","United States","English, French, Vietnamese","31500000","105090566","2 hours 27 minutes","United States"
"Memento","8.4","Christopher Nolan","Christopher Nolan, Jonathan Nolan","83","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega, Jorja Fox, Stephen Tobolowsky, Harriet Sansom Harris, Thomas Lennon, Callum Keith Rennie, Kimberly Campbell, Marianne Muellerleile, Larry Holden, Doshia Darmane, Stephanie Searson, Buzz Visconti","2000-10-20","United States","English","9000000","40047236","1 hour 53 minutes","India"
